        0.7,職質完了（異常なし）,"{unit}から{commander}、職質完了しました。{特異事項ありません/一般人でした}。引き続き巡回を継続します。以上、{unit}",
        0.3,違法所持品発見,"{unit}から{commander}、所持品検査の結果、{違法薬物/盗難品}を発見しました。現行犯逮捕します",
          1.0,逮捕・護送,"{unit}から{commander}、被疑者を{#directions}署へ連行します。以上、{unit}",

4.0,交通事故,,,,,type=traffic;level=1
  1.0,通報受理,"{commander}から{unit}。{zone}付近で{type_ja}が発生した模様。現場へ向かって対応するように","need-response=true"
    1.0,応答・転進,"{unit}から{commander}、了解です。{zone}へ向かいます",
      1.0,現着・状況報告,"{unit}から{commander}、現場到着しました。{軽傷者{#num:1-3}名を確認しました/車両{#num:2-4}台が関係している模様です/現在、状況確認中です}",
        0.2,応援要請,"{unit}から{commander}、{zone}、応援を要請します。交通整理と実況見分のため、人員の増強を要請します","need-response=true"
          1.0,応援派遣,"{commander}から{backup_unit}。{zone}へ向かって{unit}の支援にあたるように",
            1.0,応援現着,"{backup_unit}から{commander}、現場到着しました。{unit}と合流、連携して対応します",
              1.0,処理完了（応援あり）,"{unit}から{commander}、{backup_unit}と共に事故処理完了しました。現場はレッカー業者に引き継ぎます。以上、{unit}",
        0.8,処理完了（単独）,"{unit}から{commander}、事故処理完了しました。現場を引き継ぎます。以上、{unit}",

4.0,不審者通報,,,,,type=patrol;level=1
  1.0,通報受理,"{commander}から{unit}。{zone}で不審者情報が入っている。現場へ向かって確認するように","need-response=true"
    1.0,応答・転進,"{unit}から{commander}、了解です。{zone}へ向かいます",
      1.0,現着・職質開始,"{unit}から{commander}、現場到着しました。{通報内容と類似の人物を発見しました/該当人物を確認しました}。これより職質を実施します",
        0.6,職質完了（異常なし）,"{unit}から{commander}、職質の結果、特異事項ありません。{一般人でした/通報は誤認の模様です}。以上、{unit}",
        0.25,違法所持品発見,"{unit}から{commander}、所持品検査で刃物を発見しました。銃刀法違反の現行犯で逮捕します",
          1.0,逮捕・護送,"{unit}から{commander}、被疑者を{#directions}署へ連行します。以上、{unit}",
        0.15,対象者逃走,"{unit}から{commander}、対象者が職質を振り切って逃走しました。{#directions}方向へ逃走中です",
          0.7,追跡・確保,"{unit}から{commander}、逃走した対象者を{#num:50-200}メートル先で確保しました",
            1.0,逮捕・護送,"{unit}から{commander}、被疑者を{#directions}署へ連行します。以上、{unit}",
          0.3,追跡・見失う,"{unit}から{commander}、対象者を見失いました。引き続き周辺を捜索します。以上、{unit}",

4.0,窃盗事件捜査,,,,,type=investigation;level=1
  1.0,通報受理,"{commander}から{unit}。{zone}で{type_ja}が入電している。現場へ向かって状況を確認するように","need-response=true"
    1.0,応答・転進,"{unit}から{commander}、了解です。{zone}へ向かいます",
      1.0,現着・状況報告,"{unit}から{commander}、現場到着しました。被害状況を確認中です。{店舗から商品/住宅から現金/車上から荷物}が盗まれた模様です",
        0.4,防犯カメラ確認,"{unit}から{commander}、現在、防犯カメラの映像を確認中です。被疑者の特定にあたっています",
          0.5,容疑者特定・逮捕,"{unit}から{commander}、被疑者{#num:1-2}名を特定しました。緊急逮捕します",
            1.0,逮捕・護送,"{unit}から{commander}、被疑者{#num:1-2}名を確保しました。{#directions}署へ連行します。以上、{unit}",
          0.5,特定至らず,"{unit}から{commander}、被疑者の特定に至りませんでした。引き続き捜査を継続します。以上、{unit}",

4.0,口論トラブル,,,,,type=patrol;level=1
  1.0,通報受理,"{commander}から{unit}。{zone}で口論の通報が入っている。現場へ向かって仲裁するように","need-response=true"
    1.0,応答・転進,"{unit}から{commander}、了解です。現場へ向かいます",
      1.0,現着・状況聴取,"{unit}から{commander}、現場到着しました。当事者{#num:2-4}名を確認しました。現在、事情聴取中です",
        0.75,仲裁完了,"{unit}から{commander}、{仲裁完了しました/双方和解しました}。現場を離れます。以上、{unit}",
        0.2,状況悪化・応援要請,"{unit}から{commander}、状況が悪化しています。当事者の一名が刃物を持っている模様です。至急、応援を要請します","need-response=true"
          1.0,応援派遣,"{commander}から{backup_unit}。{zone}へ至急向かえ",
            1.0,応援現着,"{backup_unit}から{commander}、現場到着。{unit}と合流、対象の制圧にあたる",
              1.0,制圧・逮捕,"{unit}から{commander}、{backup_unit}と連携。暴行の容疑で{#num:1-2}名を現行犯逮捕した",
                1.0,逮捕・護送,"{unit}から{commander}、被疑者を{#directions}署へ連行する。以上、{unit}",
        0.05,暴力行為発生,"{unit}から{commander}、当事者の一名が暴力行為に及んだ。直ちに制圧する",
          1.0,制圧・逮捕,"{unit}から{commander}、暴行容疑で{#num:1-2}名を現行犯逮捕した",
            1.0,逮捕・護送,"{unit}から{commander}、被疑者を{#directions}署へ連行する。以上、{unit}",

2.0,強盗事件,,,,,type=investigation;level=3
  1.0,通報受理,"至急至急。{commander}から{unit}。{zone}で{type_ja}が発生。至急、現場へ向かうように","alert=beep;need-response=true"
    1.0,応答・転進,"{unit}から{commander}、了解。現場へ{急行中/緊急走行で向かっている}",
      1.0,現着・状況報告,"{unit}から{commander}、現場到着。被疑者{#num:1-3}名を{視認/確認}。刃物を持っている模様",
        0.7,応援要請,"{unit}から{commander}、{zone}、応援を要請する。被疑者が抵抗、至急支援を要請する","need-response=true"
          1.0,応援派遣,"{commander}から{backup_unit}。{zone}、{unit}が応援要請している。至急現場へ向かうように","need-response=true"
            1.0,応援現着,"{backup_unit}から{commander}、現場到着。{unit}と合流した",
              0.85,共同制圧・確保,"{unit}から{commander}、{backup_unit}と連携し、被疑者{#num:1-3}名を確保した。{抵抗なし/制圧完了}",
                1.0,逮捕・護送,"{unit}から{commander}、被疑者を{#directions}署へ連行する。以上、{unit}",
              0.15,容疑者逃走,"{unit}から{commander}、被疑者が{#vehicles}に乗って逃走。{#directions}方向へ逃走中",
                1.0,緊急態勢,"至急至急。{commander}から各局。{zone}より被疑者の乗った{#vehicles}が{#directions}方向へ逃走中。各局、厳重に警戒し、発見次第報告するように","need-response=true;alert=beep;backup-all=true"
                  0.75,逃走車両発見・確保,"{backup_unit}から{commander}、逃走車両を発見。進路を妨害して停止させた。被疑者{#num:1-3}名を確保",
                    1.0,逮捕・護送,"{backup_unit}から{commander}、被疑者を{#directions}署へ連行する。以上、{backup_unit}",
                  0.25,追跡継続・見失う,"{backup_unit}から{commander}、追跡中だが見失った。引き続き捜索を継続する",
        0.3,単独制圧,"{unit}から{commander}、被疑者{#num:1-3}名を確保した。{抵抗なく逮捕/制圧完了}",
          1.0,逮捕・護送,"{unit}から{commander}、被疑者を{#directions}署へ連行する。以上、{unit}",

2.0,家庭内トラブル,,,,,type=patrol;level=2
  1.0,通報受理,"{commander}から{unit}。{zone}で家庭内トラブルの通報が入っている。現場へ向かって状況確認するように","need-response=true"
    1.0,応答・転進,"{unit}から{commander}、了解です。現場へ向かいます",
      1.0,現着・状況聴取,"{unit}から{commander}、現場到着しました。当事者から事情を聴取中です",
        0.7,仲裁・解決,"{unit}から{commander}、仲裁完了しました。状況は落ち着いています。以上、{unit}",
        0.2,状況悪化,"{unit}から{commander}、状況が悪化しています。当事者の一名が興奮状態です。応援を要請します","need-response=true"
          1.0,応援派遣,"{commander}から{backup_unit}。{zone}へ向かって{unit}の支援にあたるように",
            1.0,応援現着,"{backup_unit}から{commander}、現場到着しました。{unit}と合流します",
              1.0,制圧・保護,"{unit}から{commander}、{backup_unit}と連携。当事者を保護しました。状況は安定しています。以上、{unit}",
        0.1,暴行発生,"{unit}から{commander}、当事者の一名が暴行に及んでいます。制圧します",
          1.0,制圧・逮捕,"{unit}から{commander}、暴行容疑で1名を現行犯逮捕しました",
            1.0,逮捕・護送,"{unit}から{commander}、被疑者を{#directions}署へ連行します。以上、{unit}",

2.0,器物損壊事件,,,,,type=investigation;level=2
  1.0,通報受理,"{commander}から{unit}。{zone}で{type_ja}の通報が入っている。現場へ向かって確認するように","need-response=true"
    1.0,応答・転進,"{unit}から{commander}、了解です。現場へ向かいます",
      1.0,現着・状況報告,"{unit}から{commander}、現場到着しました。{車両/店舗のガラス/公共物}が破壊されています。被害状況を確認中です",
        0.5,防犯カメラ確認,"{unit}から{commander}、防犯カメラの映像を確認しています。被疑者の特定を進めています",
          0.6,容疑者特定,"{unit}から{commander}、被疑者を特定しました。これより確保に向かいます",
            1.0,逮捕・護送,"{unit}から{commander}、被疑者を確保しました。{#directions}署へ連行します。以上、{unit}",
          0.4,特定至らず,"{unit}から{commander}、被疑者の特定に至りませんでした。引き続き捜査を継続します。以上、{unit}",
        0.5,現場保全,"{unit}から{commander}、現場を保全しました。鑑識班の到着を待機します。以上、{unit}",

2.0,深夜徘徊少年保護,,,,,type=patrol;level=1
  1.0,発見報告,"{unit}から{commander}、{zone}で深夜徘徊中の少年{#num:1-3}名を発見しました。これより保護します",
    1.0,保護・聴取,"{unit}から{commander}、少年{#num:1-3}名を保護しました。現在、事情を聴取中です",
      0.8,保護者引き渡し,"{unit}から{commander}、保護者に連絡が取れました。引き渡しを完了しました。以上、{unit}",
      0.2,保護者連絡取れず,"{unit}から{commander}、保護者と連絡が取れません。少年を{#directions}署へ連れて行きます。以上、{unit}",

1.0,大規模交通事故,,,,,type=traffic;level=3
  1.0,通報受理,"至急至急。{commander}から{unit}。{zone}で大規模な{type_ja}が発生した模様。多数の車両が関係している。至急現場へ向かうように","alert=beep;need-response=true"
    1.0,応答・転進,"{unit}から{commander}、了解。{zone}へ急行する",
      1.0,現着・状況報告,"{unit}から{commander}、現場到着。車両{#num:5-10}台が関係する多重事故。負傷者は{#num:10-20}名以上。応援と救急の緊急手配を要請する","need-response=true"
        1.0,応援指示,"{commander}から{unit}、了解。{backup_unit}及び交通機動隊は現場へ急行するように。{unit}は負傷者の救護と交通整理を最優先にしろ。消防・救急にも最大規模で要請する","need-response=true;alert=beep"
          1.0,応援受領,"{backup_unit}から{commander}、了解。現場へ急行する",
            1.0,現場状況報告,"{unit}から{commander}、了解。救護活動を開始。負傷者の中に重傷者も含まれる模様。交通は完全に麻痺している","need-response=true"
              1.0,本部応答,"{commander}から{unit}、了解。消防・救急と連携して人命救助を最優先にしろ。応援隊も間もなく到着する",
                1.0,応援到着,"{backup_unit}から{commander}、現場到着。{unit}と合流して対応にあたる",
                  1.0,交通規制実施,"{unit}から{commander}、{backup_unit}と連携して交通規制を実施中。救急搬送は順次進行している",
                    1.0,処理進行,"{unit}から{commander}、重傷者の搬送はほぼ完了。現在、実況見分と事情聴取を進めている",
                      1.0,処理完了,"{unit}から{commander}、事故処理完了。交通規制を解除する。以上、{unit}",

1.0,連続窃盗事件,,,,,type=investigation;level=2
  1.0,通報受理,"{commander}から{unit}。{zone}で連続窃盗事件が発生している模様。現場へ向かって確認するように","need-response=true"
    1.0,応答・転進,"{unit}から{commander}、了解です。現場へ向かいます",
      1.0,現着・状況報告,"{unit}から{commander}、現場到着しました。{#num:3-5}件の被害を確認しました。手口が類似しています",
        1.0,捜査開始,"{unit}から{commander}、防犯カメラと目撃情報を収集中です。同一犯の可能性が高いです",
          0.6,容疑者特定,"{unit}から{commander}、防犯カメラから容疑者を特定しました。これより確保に向かいます",
            0.8,逮捕成功,"{unit}から{commander}、容疑者を確保しました。盗品も一部発見しました。{#directions}署へ連行します。以上、{unit}",
            0.2,容疑者不在,"{unit}から{commander}、容疑者の自宅に到着しましたが不在でした。引き続き捜索します",
          0.4,捜査継続,"{unit}から{commander}、容疑者の特定に時間がかかっています。引き続き捜査を継続します。以上、{unit}",

1.0,行方不明者捜索,,,,,type=patrol;level=2
  1.0,通報受理,"{commander}から{unit}。{zone}で{高齢者/子供}の行方不明者が出ている。捜索にあたるように","need-response=true"
    1.0,応答・捜索開始,"{unit}から{commander}、了解です。{zone}周辺の捜索を開始します",
      1.0,捜索中,"{unit}から{commander}、{zone}周辺を捜索中です。現在のところ発見に至っていません",
        0.7,発見・保護,"{unit}から{commander}、{zone}の{公園/商店街/住宅地}で行方不明者を発見しました。保護します",
          1.0,保護完了,"{unit}から{commander}、行方不明者を保護しました。健康状態に問題ありません。家族に引き渡します。以上、{unit}",
        0.3,発見至らず,"{unit}から{commander}、{zone}周辺の捜索完了しましたが発見に至りませんでした。捜索範囲を広げます",
          0.6,範囲拡大後発見,"{unit}から{commander}、隣接する{zone}で行方不明者を発見しました。保護します",
            1.0,保護完了,"{unit}から{commander}、行方不明者を保護しました。家族に引き渡します。以上、{unit}",
          0.4,捜索継続,"{unit}から{commander}、引き続き捜索を継続します。以上、{unit}",

1.0,大規模施設爆発事案,,,,,type=backup;level=3
  1.0,通報受理,"{commander}から{unit}。{zone}の大型商業施設で「爆発音がした」「黒煙が見える」という通報が多数入電中。至急現場へ急行して状況を確認するように","need-response=true"
    1.0,状況確認,"{unit}から{commander}、了解。{zone}へ急行する",
      0.7,第一報・爆発確認,"{unit}から{commander}、現場到着。{zone}、中央広場付近で爆発が発生した模様。黒煙が充満し、火災も発生している。負傷者多数を確認、現場はパニック状態。至急、応援と消防・救急の緊急手配を要請する","need-response=true"
        1.0,応援指示・レベルアップ,"{commander}から{unit}、了解。本件、レベル4事案に移行する。{backup_unit}と{#directions}署の全パトカーは現場へ急行するように。{unit}は負傷者の救護と避難誘導を最優先にしろ。消防にも最大規模で要請する","escalate_level=4;alert=beep;need-response=true"
          1.0,応援受領,"{backup_unit}から{commander}、了解。現場へ急行する",
            1.0,現場状況報告,"{unit}から{commander}、了解。避難誘導を開始。負傷者は{#num:20-30}名以上とみられ、重傷者も含まれる模様。火勢が強く、延焼の危険がある","need-response=true"
              1.0,本部応答,"{commander}から{unit}、了解。消防と連携して人命救助を最優先にしろ。応援隊も間もなく到着する",
                1.0,連続爆発・最大レベル,"至急至急。{unit}から{commander}、{zone}、北側フードコート付近で第二の爆発が発生。被害が拡大している。これはテロの可能性が極めて高い。至急、全応援を要請する","need-response=true;escalate_level=4"
                  1.0,全応援・緊急態勢,"至急至急。{commander}から各局、{zone}の大型商業施設で連続爆発、本件を爆発物テロ事案に指定する。レベル4。出動可能な全応援車両は現場へ急行するように。{unit}は二次被害に厳重注意しながら避難誘導と警戒にあたれ。全管内に緊急態勢を発令する","backup-all=true;need-response=true;alert=beep"
                    1.0,現場指揮本部設置,"{backup_unit}から{commander}、現場到着。北側フードコートの被害も大きい。これより現場指揮本部を設置、{unit}は指揮下に入るように","need-response=true"
                      1.0,現場指揮受諾,"{unit}から{backup_unit}、了解。指揮下に入る",
                        1.0,特別捜査班・危険物処理班派遣指示,"{commander}から{backup_unit}、指揮を了承。特別捜査班と危険物処理班を急行させる。引き続き状況を報告するように","add_units=特別捜査班;add_units=危険物処理班;need-response=true"
                          1.0,指揮本部了解,"{backup_unit}から{commander}、了解",
                            1.0,特別捜査班現着,"特別捜査班から{commander}、現場到着。{backup_unit}と合流、警戒体制と情報収集を開始する",
                              0.6,不審物発見・車両,"{unit}から{commander}と現場指揮本部。避難誘導中に{zone}地下駐車場Bブロックで不審な{#vehicles}を発見。窓が割れていて、荷台に段ボールが積まれている","need-response=true"
                                1.0,危険物処理班急行指示・車両,"至急至急。{commander}から危険物処理班、{zone}地下駐車場Bブロックへ急行しろ。対象車両の処理にあたれ。{unit}は直ちに周辺を完全封鎖、半径100メートル以内から人員を避難させるように","need-response=true;alert=beep"
                                  1.0,危険物処理班処理開始,"危険物処理班から{commander}、対象車両を確認。これより爆発物処理を開始する",
                                    1.0,容疑者情報・車両,"{backup_unit}から{commander}。目撃者情報が入った。第二爆発の直前、{zone}北側ゲートから白いワンボックスで急発進する{不審な男{#num:1-2}名/黒ずくめの人物}を目撃したとの報告がある","need-response=true"
                                      1.0,捜索指令・車両,"{commander}から各局、白いワンボックスに乗った{不審な男{#num:1-2}名/黒ずくめの人物}。逃走方向は不明。各局、厳重に警戒して発見次第報告するように",
                                        1.0,交通検問開始,"{units_traffic}から{commander}、了解。現場周辺の主要道路で検問を開始する",
                                          1.0,処理完了報告・車両,"危険物処理班から{commander}、処理完了。車両内の爆発物を無能化した。これは時限式の{高性能爆薬/簡易爆弾}と断定する",
                                            1.0,現場制圧・捜査移行,"{backup_unit}から{commander}、現場指揮本部より。負傷者の搬出はほぼ完了。火勢は鎮圧状態。これより現場保全に移行する",
                                              1.0,捜査本部設置指示,"{commander}から鑑識班、{zone}連続爆発テロ事件の捜査本部を{#directions}署に設置する。至急、現場へ到着して鑑識活動と捜査を開始するように","need-response=true"
                                                1.0,捜査開始,"鑑識班から{commander}、了解。現場到着。これより捜査を開始する",
                              0.4,不審物発見・ロッカー,"{unit}から{commander}と現場指揮本部。避難誘導中に{zone}東側出口のコインロッカーで異臭のする段ボールを発見","need-response=true"
                                1.0,危険物処理班急行指示・ロッカー,"至急至急。{commander}から危険物処理班、{zone}東側出口コインロッカーへ急行しろ。対象物の処理にあたれ。{unit}は直ちに周辺を完全封鎖、人員を避難させるように","need-response=true;alert=beep"
                                  1.0,危険物処理班処理開始,"危険物処理班から{commander}、対象ロッカーを確認。これより爆発物処理を開始する",
                                    1.0,容疑者情報・徒歩,"{backup_unit}から{commander}。防犯カメラ映像を確認した。第二爆発の直後、{zone}東側出口から{不審な男1名/フードを被った人物}が走って立ち去る姿を確認","need-response=true"
                                      1.0,捜索指令・徒歩,"至急至急。{commander}から各局、{zone}東側出口より{不審な男1名/フードを被った人物}が徒歩で逃走。各局、周辺を厳重に警戒して発見次第報告するように",
                                        1.0,処理完了報告・ロッカー,"危険物処理班から{commander}、処理完了。ロッカー内の爆発物を無能化した。これも時限式の{高性能爆薬/化学剤}と断定する",
                                          1.0,現場制圧・捜査移行,"{backup_unit}から{commander}、現場指揮本部より。負傷者の搬出はほぼ完了。火勢は鎮圧状態。これより現場保全に移行する",
                                            1.0,捜査本部設置指示,"{commander}から鑑識班、{zone}連続爆発テロ事件の捜査本部を{#directions}署に設置する。至急、現場へ到着して鑑識活動と捜査を開始するように","need-response=true"
                                              1.0,捜査開始,"鑑識班から{commander}、了解。現場到着。これより捜査を開始する",
      0.3,第一報・小規模火災,"{unit}から{commander}、現場到着。{zone}、中央広場付近で小規模な火災を確認。爆発音はボンベ等の破裂音の可能性がある。負傷者は数名、いずれも軽傷の模様。消防と連携して初期消火と避難誘導にあたる","need-response=true"
        1.0,本部了解・応援縮小,"{commander}から{unit}、了解。本件、レベル2事案とする。{backup_unit}は現場へ向かって交通整理と現場支援にあたるように","escalate_level=2;need-response=true"
          1.0,現場了解,"{unit}から{commander}、了解です。引き続き消防と連携して対応します",
            1.0,火勢鎮圧,"{unit}から{commander}、火勢は鎮圧しました。負傷者は{#num:3-5}名、いずれも軽傷です。現場は落ち着きを取り戻しつつあります","need-response=true"
              1.0,実況見分指示,"{commander}から{unit}、了解。火災原因について消防と共に実況見分を開始するように",
                1.0,見分開始,"{unit}から{commander}、了解です。これより実況見分を開始します",

1.0,武装集団による電力施設占拠事案,,,,,type=backup;level=3
  1.0,通報受理,"至急至急。{commander}から{unit}。{#zones}にある中央電力の電力施設で警備員より「銃声が複数回した」「{#num:5-10}名の武装集団が侵入した」との通報、本件、レベル3事案とする。至急現場へ向かって状況を確認するように","need-response=true;alert=beep"
    1.0,受領・転進,"{unit}から{commander}、了解。{#zones}電力施設へ向かう",
      1.0,第一報・現場到着・レベルアップ,"{unit}から{commander}、現場付近に到着。施設正門が車両で突破されている模様。内部から断続的に銃声を確認。本件、テロ事案（レベル4）の模様。至急、全応援と特科中隊の派遣を要請する","need-response=true"
        1.0,本部応答・全応援・特科中隊派遣,"{commander}から各局。{#zones}電力施設の武装集団占拠事案、レベル4テロ事案に指定する。急行可能な全応援車両は現場へ急行するように。{unit}は二次被害に注意して施設周辺の封鎖と避難誘導を最優先にしろ。特科中隊と危険物処理班を急行させる。全管内に緊急態勢を発令する","escalate_level=4;backup-all=true;add_units=特科中隊;add_units=特科中隊・危険物処理班;need-response=true;alert=beep"
          1.0,応援受領,"{backup_unit}から{commander}、了解。現場へ向かう",
            1.0,現場指揮本部設置,"{unit}から{commander}、了解。これより現場指揮本部を設置、周辺道路の封鎖を開始する。施設内の人質情報は現在不明。引き続き情報収集にあたる",
              1.0,特科中隊現着,"特科中隊から{commander}、特科中隊現場到着。{unit}と合流、これより突入計画の策定と情報収集を開始する","need-response=true"
                1.0,本部指示・情報収集,"{commander}から特科中隊、了解。施設内の車両の有無、人質の人数、犯人側の要求等、情報収集を徹底しろ",
                  1.0,危険物処理班現着,"危険物処理班から{commander}、危険物処理班現場到着。特科中隊と連携して爆発物の有無について検索を開始する",
                    0.6,人質情報発見,"{unit}から{commander}。施設警備員2名と連絡が取れない模様。人質になっている可能性が大きい","need-response=true"
                      1.0,本部応答・交渉準備,"{commander}から特科中隊、了解。人質2名と想定する。交渉班を至急急行させる。特科中隊は人質救出を最優先に強行突入のタイミングを慎重に計れ","add_units=交渉班;need-response=true"
                        1.0,特科中隊受領・監視,"特科中隊から{commander}、了解。監視体制を強化している。犯人グループは施設中央制御室に立てこもっている模様",
                          1.0,犯人側からの接触,"交渉班から{commander}。交渉班、現場到着。犯人側から接触があった。政府への条件提示を要求している。人質は無事だとの言動がある","need-response=true"
                            1.0,本部指示・交渉継続,"{commander}から交渉班、了解。人質の安全確保を最優先に交渉を継続しろ。時間の猶予を引き延ばせ。特科中隊は突入準備を完了しろ","need-response=true"
                              0.5,交渉決裂・銃声,"至急至急。特科中隊から{commander}。制御室内部から銃声{#num:1-3}発。人質に危害が加えられた可能性がある。これより強行突入する","need-response=true;alert=beep"
                                1.0,本部・突入許可,"{commander}から特科中隊、了解。突入を許可する。人質救出を最優先にしろ",
                                  1.0,突入・制圧報告,"特科中隊から{commander}。突入、制圧完了。武装集団{#num:5-7}名を確保。人質{#num:1-2}名、{軽傷/無事}で保護した。制御室内に爆発物らしき物を発見。危険物処理班の確認を要請する","need-response=true"
                                    1.0,危険物処理班処理指示,"{commander}から危険物処理班、制御室へ急行しろ。不審物の処理にあたれ。特科中隊は確保した被疑者を{#directions}署へ移送しろ","need-response=true"
                                      1.0,危険物処理班処理開始,"危険物処理班から{commander}、了解。対象物を確認。これより処理を開始する",
                                        1.0,危険物処理班処理完了,"危険物処理班から{commander}、処理完了。対象物は{時限式爆弾/高性能爆薬}と判明。無能化した","need-response=true"
                                          1.0,鑑識活動,鑑識班から{commander}、現場到着。鑑識活動を開始する,
                                              1.0,状況終了,{commander}から各局、本件占拠事案、状況終了。特例事案態勢を解除、通常業務に復帰するように。以上、{commander},
                              0.5,交渉・投降受諾,"交渉班から{commander}。交渉の結果、犯人グループが投降に応じる模様。人質を先に解放するとの言動がある","need-response=true"
                                1.0,本部指示・確保準備,"{commander}から特科中隊、了解。特科中隊は人質解放後、直ちに被疑者の身柄確保にあたれ。投降が偽装である可能性も注意しろ","need-response=true"
                                  1.0,人質保護・身柄確保,"特科中隊から{commander}、了解。人質{#num:1-2}名を無事保護。続いて武装集団{#num:5-7}名を確保した","need-response=true"
                                    1.0,本部指示・捜索,"{commander}から危険物処理班、了解。危険物処理班は直ちに施設内の爆発物検索を開始しろ。特科中隊は被疑者を{#directions}署へ移送しろ","need-response=true"
                                      1.0,危険物処理班捜索開始,"危険物処理班から{commander}、了解。これより検索を開始する",
                                        1.0,不審物発見/発見至らず,"危険物処理班から{commander}、検索結果。{制御室で爆発物を発見、処理完了/施設内、爆発物の発見に至らず}","need-response=true"
                                            1.0,鑑識活動,鑑識班から{commander}、現場到着。鑑識活動を開始する,
                                              1.0,状況終了,{commander}から各局、本件占拠事案、状況終了。特例事案態勢を解除、通常業務に復帰するように。以上、{commander},
                    0.4,人質不在確認,"{unit}から{commander}。施設警備員は全員施設外へ避難済みと判明。人質はいない模様。犯人グループは施設中枢部に立てこもり破壊活動を行っている可能性がある","need-response=true"
                      1.0,本部指示・突入準備,"{commander}から特科中隊、了解。人質不在を確認。特科中隊は施設の早期奪還を目的に強行突入の準備を急げ。危険物処理班は施設外周の爆発物検索を継続しろ","need-response=true"
                        1.0,特科中隊準備完了,"特科中隊から{commander}、了解。突入準備完了。目標は中央制御室",
                          1.0,危険物処理班外周報告,"至急至急。危険物処理班から{commander}、外周検索中、施設北側フェンスで爆発物を発見。仕掛け爆弾（ブービートラップ）の可能性がある。処理を開始する","need-response=true;alert=beep"
                            1.0,本部指示・突入待機,"{commander}から特科中隊、了解。特科中隊は危険物処理班の処理完了まで突入を待機しろ。二次被害の防止を徹底しろ","need-response=true"
                              1.0,危険物処理班処理完了,"危険物処理班から{commander}、処理完了。対象物を無能化した","need-response=true"
                                1.0,本部・突入許可,"{commander}から特科中隊、了解。特科中隊はこれより突入を開始しろ","need-response=true"
                                  1.0,突入・制圧報告,"特科中隊から{commander}、突入。中央制御室を制圧。武装集団{#num:5-7}名を確保した。施設内に爆発物を発見","need-response=true"
                                    1.0,本部指示・処理,"{commander}から危険物処理班、了解。危険物処理班は制御室へ急行、不審物の処理にあたれ。特科中隊は被疑者を{#directions}署へ移送しろ","need-response=true"
                                      1.0,危険物処理班処理開始,"危険物処理班から{commander}、了解。対象物を確認。これより処理を開始する",
                                        1.0,危険物処理班処理完了,"危険物処理班から{commander}、処理完了。対象物は{高性能爆薬/電力破壊装置}と判明。無能化した","need-response=true"
                                          1.0,鑑識活動,鑑識班から{commander}、現場到着。鑑識活動を開始する,
                                                1.0,状況終了,{commander}から各局、本件占拠事案、状況終了。特例事案態勢を解除、通常業務に復帰するように。以上、{commander},

1.0,ハイジャック事案,,,,,type=backup;level=4
